
各层处理时间统计(ms):
层 25: 133.74ms (, 中间层: 78.23ms, 最终层: 55.50ms, %)
层 26: 115.34ms (, 中间层: 53.90ms, 最终层: 61.44ms, %)

各层处理时间统计(ms):
层 1: 129.76ms (, 中间层: 74.95ms, 最终层: 54.80ms, %)
层 2: 140.80ms (, 中间层: 83.60ms, 最终层: 57.20ms, %)
层 3: 130.29ms (, 中间层: 76.16ms, 最终层: 54.12ms, %)
层 4: 127.15ms (, 中间层: 70.41ms, 最终层: 56.74ms, %)
层 5: 119.63ms (, 中间层: 64.27ms, 最终层: 55.35ms, %)
层 6: 132.36ms (, 中间层: 71.54ms, 最终层: 60.81ms, %)
层 7: 187.22ms (, 中间层: 111.71ms, 最终层: 75.51ms, %)
层 8: 149.31ms (, 中间层: 72.18ms, 最终层: 77.13ms, %)
层 9: 135.66ms (, 中间层: 70.09ms, 最终层: 65.57ms, %)
层 10: 106.15ms (, 中间层: 31.87ms, 最终层: 74.29ms, %)
层 11: 94.11ms (, 中间层: 29.73ms, 最终层: 64.38ms, %)
层 12: 94.21ms (, 中间层: 33.31ms, 最终层: 60.89ms, %)
层 13: 124.15ms (, 中间层: 53.64ms, 最终层: 70.50ms, %)
层 14: 122.04ms (, 中间层: 60.71ms, 最终层: 61.33ms, %)
层 15: 131.54ms (, 中间层: 71.57ms, 最终层: 59.97ms, %)
层 16: 116.03ms (, 中间层: 69.61ms, 最终层: 46.42ms, %)
层 17: 118.80ms (, 中间层: 69.04ms, 最终层: 49.76ms, %)
层 18: 125.78ms (, 中间层: 72.10ms, 最终层: 53.66ms, %)
层 19: 157.92ms (, 中间层: 90.27ms, 最终层: 67.65ms, %)
层 20: 127.37ms (, 中间层: 70.12ms, 最终层: 57.25ms, %)
层 21: 131.99ms (, 中间层: 70.91ms, 最终层: 61.07ms, %)
层 22: 124.73ms (, 中间层: 71.22ms, 最终层: 53.50ms, %)
层 23: 130.63ms (, 中间层: 74.37ms, 最终层: 56.26ms, %)
层 24: 141.33ms (, 中间层: 76.34ms, 最终层: 64.98ms, %)
层 25: 126.10ms (, 中间层: 70.70ms, 最终层: 55.40ms, %)
层 26: 113.99ms (, 中间层: 52.90ms, 最终层: 61.09ms, %)

各层处理时间统计(ms):
层 1: 137.45ms (, 中间层: 80.28ms, 最终层: 57.17ms, %)
层 2: 127.05ms (, 中间层: 75.01ms, 最终层: 52.03ms, %)
层 3: 140.93ms (, 中间层: 78.33ms, 最终层: 62.60ms, %)
层 4: 140.63ms (, 中间层: 83.47ms, 最终层: 57.16ms, %)
层 5: 118.53ms (, 中间层: 61.73ms, 最终层: 56.80ms, %)
层 6: 146.45ms (, 中间层: 85.18ms, 最终层: 61.26ms, %)
层 7: 143.56ms (, 中间层: 73.65ms, 最终层: 69.91ms, %)
层 8: 151.96ms (, 中间层: 74.55ms, 最终层: 77.41ms, %)
层 9: 139.95ms (, 中间层: 70.47ms, 最终层: 69.47ms, %)
层 10: 131.34ms (, 中间层: 55.44ms, 最终层: 75.89ms, %)
层 11: 97.32ms (, 中间层: 33.84ms, 最终层: 63.48ms, %)
层 12: 98.10ms (, 中间层: 31.74ms, 最终层: 66.35ms, %)
层 13: 109.76ms (, 中间层: 34.04ms, 最终层: 75.72ms, %)
层 14: 117.38ms (, 中间层: 54.48ms, 最终层: 62.89ms, %)
层 15: 116.18ms (, 中间层: 55.85ms, 最终层: 60.33ms, %)
层 16: 126.84ms (, 中间层: 71.69ms, 最终层: 55.15ms, %)
层 17: 127.25ms (, 中间层: 72.32ms, 最终层: 54.92ms, %)
层 18: 130.41ms (, 中间层: 77.77ms, 最终层: 52.63ms, %)
层 19: 132.20ms (, 中间层: 69.04ms, 最终层: 63.15ms, %)
层 20: 126.67ms (, 中间层: 71.63ms, 最终层: 55.04ms, %)
层 21: 179.22ms (, 中间层: 113.63ms, 最终层: 65.58ms, %)
层 22: 1365.91ms (, 中间层: 1309.00ms, 最终层: 56.91ms, %)
层 23: 127.55ms (, 中间层: 73.57ms, 最终层: 53.98ms, %)
层 24: 144.72ms (, 中间层: 79.00ms, 最终层: 65.72ms, %)
层 25: 149.73ms (, 中间层: 74.36ms, 最终层: 75.37ms, %)
层 26: 120.59ms (, 中间层: 53.01ms, 最终层: 67.57ms, %)

各层处理时间统计(ms):
层 1: 126.69ms (, 中间层: 71.62ms, 最终层: 55.07ms, %)
层 2: 201.48ms (, 中间层: 150.94ms, 最终层: 50.53ms, %)
层 3: 134.68ms (, 中间层: 76.65ms, 最终层: 58.03ms, %)
层 4: 136.24ms (, 中间层: 75.61ms, 最终层: 60.63ms, %)
层 5: 138.82ms (, 中间层: 82.78ms, 最终层: 56.04ms, %)
层 6: 121.92ms (, 中间层: 62.84ms, 最终层: 59.08ms, %)
层 7: 152.01ms (, 中间层: 81.80ms, 最终层: 70.21ms, %)
层 8: 164.39ms (, 中间层: 78.04ms, 最终层: 86.35ms, %)
层 9: 149.82ms (, 中间层: 85.22ms, 最终层: 64.60ms, %)
层 10: 156.28ms (, 中间层: 79.60ms, 最终层: 76.68ms, %)
层 11: 145.63ms (, 中间层: 76.46ms, 最终层: 69.16ms, %)
层 12: 95.61ms (, 中间层: 31.70ms, 最终层: 63.91ms, %)
层 13: 108.05ms (, 中间层: 31.64ms, 最终层: 76.41ms, %)
层 14: 86.98ms (, 中间层: 33.53ms, 最终层: 53.45ms, %)
层 15: 96.52ms (, 中间层: 38.81ms, 最终层: 57.71ms, %)
层 16: 111.38ms (, 中间层: 54.95ms, 最终层: 56.39ms, %)
层 17: 114.89ms (, 中间层: 62.14ms, 最终层: 52.75ms, %)
层 18: 128.32ms (, 中间层: 78.41ms, 最终层: 49.90ms, %)
层 19: 144.23ms (, 中间层: 74.09ms, 最终层: 70.13ms, %)
层 20: 116.60ms (, 中间层: 62.30ms, 最终层: 54.29ms, %)
层 21: 256.10ms (, 中间层: 195.41ms, 最终层: 60.69ms, %)
层 22: 131.04ms (, 中间层: 74.44ms, 最终层: 56.59ms, %)
层 23: 121.27ms (, 中间层: 69.77ms, 最终层: 51.49ms, %)
层 24: 165.37ms (, 中间层: 106.28ms, 最终层: 59.09ms, %)
层 25: 126.85ms (, 中间层: 72.42ms, 最终层: 54.43ms, %)
层 26: 119.47ms (, 中间层: 54.04ms, 最终层: 65.43ms, %)

各层处理时间统计(ms):
层 1: 129.40ms (, 中间层: 70.11ms, 最终层: 59.28ms, %)
层 2: 124.10ms (, 中间层: 73.75ms, 最终层: 50.35ms, %)
层 3: 118.40ms (, 中间层: 63.83ms, 最终层: 54.57ms, %)
层 4: 132.04ms (, 中间层: 75.43ms, 最终层: 56.61ms, %)
层 5: 130.60ms (, 中间层: 73.11ms, 最终层: 57.48ms, %)
层 6: 119.93ms (, 中间层: 63.62ms, 最终层: 56.30ms, %)
层 7: 148.46ms (, 中间层: 76.11ms, 最终层: 72.34ms, %)
层 8: 149.14ms (, 中间层: 72.09ms, 最终层: 77.05ms, %)
层 9: 153.15ms (, 中间层: 80.76ms, 最终层: 72.39ms, %)
层 10: 142.62ms (, 中间层: 73.63ms, 最终层: 68.99ms, %)
层 11: 127.57ms (, 中间层: 68.84ms, 最终层: 58.73ms, %)
层 12: 120.74ms (, 中间层: 56.05ms, 最终层: 64.68ms, %)
层 13: 94.65ms (, 中间层: 31.16ms, 最终层: 63.48ms, %)
层 14: 91.71ms (, 中间层: 31.43ms, 最终层: 60.28ms, %)
层 15: 96.65ms (, 中间层: 33.74ms, 最终层: 62.91ms, %)
层 16: 131.32ms (, 中间层: 72.25ms, 最终层: 59.06ms, %)
层 17: 92.83ms (, 中间层: 45.54ms, 最终层: 47.29ms, %)
层 18: 147.10ms (, 中间层: 95.46ms, 最终层: 51.63ms, %)
层 19: 139.44ms (, 中间层: 73.79ms, 最终层: 65.65ms, %)
层 20: 118.22ms (, 中间层: 65.91ms, 最终层: 52.30ms, %)
层 21: 139.09ms (, 中间层: 74.67ms, 最终层: 64.42ms, %)
层 22: 127.72ms (, 中间层: 73.18ms, 最终层: 54.54ms, %)
层 23: 133.52ms (, 中间层: 73.88ms, 最终层: 59.63ms, %)
层 24: 150.76ms (, 中间层: 88.55ms, 最终层: 62.20ms, %)
层 25: 125.59ms (, 中间层: 70.98ms, 最终层: 54.61ms, %)
层 26: 116.89ms (, 中间层: 52.49ms, 最终层: 64.40ms, %)

各层处理时间统计(ms):
层 1: 112.40ms (, 中间层: 56.21ms, 最终层: 56.19ms, %)
层 2: 118.11ms (, 中间层: 68.53ms, 最终层: 49.58ms, %)
层 3: 208.65ms (, 中间层: 156.45ms, 最终层: 52.20ms, %)
层 4: 137.70ms (, 中间层: 83.09ms, 最终层: 54.60ms, %)
层 5: 126.60ms (, 中间层: 75.64ms, 最终层: 50.96ms, %)
层 6: 131.65ms (, 中间层: 73.59ms, 最终层: 58.05ms, %)
层 7: 137.26ms (, 中间层: 69.24ms, 最终层: 68.02ms, %)
层 8: 153.86ms (, 中间层: 78.34ms, 最终层: 75.52ms, %)
层 9: 163.42ms (, 中间层: 96.81ms, 最终层: 66.60ms, %)
层 10: 151.91ms (, 中间层: 80.58ms, 最终层: 71.33ms, %)
层 11: 167.53ms (, 中间层: 102.64ms, 最终层: 64.89ms, %)
层 12: 141.58ms (, 中间层: 79.67ms, 最终层: 61.90ms, %)
层 13: 139.37ms (, 中间层: 71.91ms, 最终层: 67.46ms, %)
层 14: 86.88ms (, 中间层: 30.97ms, 最终层: 55.91ms, %)
层 15: 92.19ms (, 中间层: 30.31ms, 最终层: 61.88ms, %)
层 16: 83.78ms (, 中间层: 33.54ms, 最终层: 50.24ms, %)
层 17: 97.28ms (, 中间层: 53.54ms, 最终层: 43.74ms, %)
层 18: 98.02ms (, 中间层: 51.53ms, 最终层: 46.50ms, %)
层 19: 128.19ms (, 中间层: 62.72ms, 最终层: 65.47ms, %)
层 20: 150.76ms (, 中间层: 90.72ms, 最终层: 60.04ms, %)
层 21: 128.14ms (, 中间层: 70.23ms, 最终层: 57.91ms, %)
层 22: 127.71ms (, 中间层: 70.99ms, 最终层: 56.72ms, %)
层 23: 123.18ms (, 中间层: 69.72ms, 最终层: 53.46ms, %)
层 24: 142.87ms (, 中间层: 79.33ms, 最终层: 63.53ms, %)
层 25: 109.62ms (, 中间层: 57.22ms, 最终层: 52.40ms, %)
层 26: 120.05ms (, 中间层: 51.25ms, 最终层: 68.80ms, %)

各层处理时间统计(ms):
层 1: 108.22ms (, 中间层: 53.03ms, 最终层: 55.19ms, %)
层 2: 144.66ms (, 中间层: 91.05ms, 最终层: 53.61ms, %)
层 3: 136.15ms (, 中间层: 79.88ms, 最终层: 56.26ms, %)
层 4: 132.14ms (, 中间层: 70.43ms, 最终层: 61.70ms, %)
层 5: 125.33ms (, 中间层: 68.58ms, 最终层: 56.74ms, %)
层 6: 132.26ms (, 中间层: 73.52ms, 最终层: 58.74ms, %)
层 7: 141.00ms (, 中间层: 72.31ms, 最终层: 68.69ms, %)
层 8: 129.21ms (, 中间层: 57.13ms, 最终层: 72.08ms, %)
层 9: 139.99ms (, 中间层: 72.49ms, 最终层: 67.50ms, %)
层 10: 134.89ms (, 中间层: 70.86ms, 最终层: 64.03ms, %)
层 11: 131.97ms (, 中间层: 70.73ms, 最终层: 61.24ms, %)
层 12: 128.94ms (, 中间层: 70.50ms, 最终层: 58.44ms, %)
层 13: 163.20ms (, 中间层: 86.13ms, 最终层: 77.07ms, %)
层 14: 115.44ms (, 中间层: 59.17ms, 最终层: 56.27ms, %)
层 15: 91.06ms (, 中间层: 31.01ms, 最终层: 60.04ms, %)
层 16: 77.17ms (, 中间层: 29.46ms, 最终层: 47.70ms, %)
层 17: 81.94ms (, 中间层: 31.45ms, 最终层: 50.49ms, %)
层 18: 87.30ms (, 中间层: 38.26ms, 最终层: 49.04ms, %)
层 19: 134.85ms (, 中间层: 70.67ms, 最终层: 64.18ms, %)
层 20: 113.50ms (, 中间层: 57.33ms, 最终层: 56.16ms, %)
层 21: 127.67ms (, 中间层: 68.13ms, 最终层: 59.53ms, %)
层 22: 126.15ms (, 中间层: 69.02ms, 最终层: 57.13ms, %)
层 23: 120.09ms (, 中间层: 68.03ms, 最终层: 52.05ms, %)
层 24: 131.98ms (, 中间层: 72.37ms, 最终层: 59.61ms, %)
层 25: 120.20ms (, 中间层: 67.77ms, 最终层: 52.43ms, %)
层 26: 108.89ms (, 中间层: 48.33ms, 最终层: 60.56ms, %)

各层处理时间统计(ms):
层 1: 111.75ms (, 中间层: 56.18ms, 最终层: 55.57ms, %)
层 2: 121.09ms (, 中间层: 71.00ms, 最终层: 50.08ms, %)
层 3: 130.75ms (, 中间层: 73.16ms, 最终层: 57.59ms, %)
层 4: 127.57ms (, 中间层: 67.67ms, 最终层: 59.89ms, %)
层 5: 139.06ms (, 中间层: 88.10ms, 最终层: 50.96ms, %)
层 6: 135.65ms (, 中间层: 77.68ms, 最终层: 57.97ms, %)
层 7: 268.83ms (, 中间层: 76.24ms, 最终层: 192.59ms, %)
层 8: 150.41ms (, 中间层: 71.70ms, 最终层: 78.70ms, %)
层 9: 137.59ms (, 中间层: 68.22ms, 最终层: 69.37ms, %)
层 10: 143.67ms (, 中间层: 75.88ms, 最终层: 67.79ms, %)
层 11: 137.46ms (, 中间层: 75.23ms, 最终层: 62.23ms, %)
层 12: 135.64ms (, 中间层: 75.87ms, 最终层: 59.77ms, %)
层 13: 151.90ms (, 中间层: 74.43ms, 最终层: 77.47ms, %)
层 14: 151.67ms (, 中间层: 70.47ms, 最终层: 81.19ms, %)
层 15: 176.04ms (, 中间层: 115.04ms, 最终层: 61.00ms, %)
层 16: 87.00ms (, 中间层: 31.89ms, 最终层: 55.10ms, %)
层 17: 78.98ms (, 中间层: 29.33ms, 最终层: 49.65ms, %)
层 18: 83.53ms (, 中间层: 31.85ms, 最终层: 51.67ms, %)
层 19: 103.47ms (, 中间层: 38.58ms, 最终层: 64.89ms, %)
层 20: 112.00ms (, 中间层: 53.02ms, 最终层: 58.97ms, %)
层 21: 187.02ms (, 中间层: 116.15ms, 最终层: 70.87ms, %)
层 22: 127.90ms (, 中间层: 74.38ms, 最终层: 53.52ms, %)
层 23: 201.00ms (, 中间层: 146.87ms, 最终层: 54.13ms, %)
层 24: 133.00ms (, 中间层: 70.33ms, 最终层: 62.67ms, %)
层 25: 209.25ms (, 中间层: 156.04ms, 最终层: 53.21ms, %)
层 26: 134.31ms (, 中间层: 72.08ms, 最终层: 62.22ms, %)

各层处理时间统计(ms):
层 1: 107.75ms (, 中间层: 53.44ms, 最终层: 54.31ms, %)
层 2: 154.54ms (, 中间层: 95.89ms, 最终层: 58.65ms, %)
层 3: 138.32ms (, 中间层: 82.08ms, 最终层: 56.24ms, %)
